time(in ms),duration(in ms),HSL_count,HSL_time,HSR_count,HSR_time,TOL_count,TOL_time,TOR_count,TOR_time,FPS, time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
734,96,,,,,,,,,,38,-59.31298256,-39.89467621,11.83974266,47.16024399,440.1480389,224.897384,441.2324238,283.1850743,403.7881279,324.6484101,428.50811,226.2204909,440.013628,283.8836825,447.1619225,341.1835206,2.39,27.53,4.03,26.93,1.71,2.46
807,73,,,,,,,,,,38,-50.5651474,-33.80021095,9.721927643,45.86079597,445.3851128,225.1173788,452.9869366,282.1152914,405.8239174,313.3269668,433.4580517,226.2600803,446.5925503,282.6983821,449.6125889,342.2868419,5.83,44.65,1.65,40.36,4.42,1.41
871,64,,,,,,,,,,38,-24.60845947,-4.407520294,-5.944805145,31.22860909,450.7783699,224.8546404,472.2884846,277.5184143,437.8316975,317.4172604,449.7011089,224.6409702,458.1023884,278.4724867,449.1047001,341.2419713,9.63,38.85,4.59,25.9,3.01,10.81
939,68,,,,,,,,,,38,1.2641716,32.23002434,-22.80532837,9.644193649,465.7452679,224.6733016,486.6470146,273.9838529,473.2666969,328.2433534,465.526228,224.8797458,464.569273,279.3713915,450.9209347,339.2577696,6.74,21.31,7.29,7.88,1.19,11.3
3,64,,,,,,,,,,39,12.26016998,41.86695099,-31.5122509,3.172416687,471.1304283,225.0609076,485.9853172,277.1788788,488.6462975,334.0763211,474.9466896,225.9069622,470.1482105,281.158483,451.4660454,338.831588,7.53,7.6,10.31,1.52,2.72,7.37
70,67,,,,,,,,,,39,-34.40912247,-4.265556335,40.42287827,68.01195145,484.2803192,225.6893653,472.7344036,279.6411145,457.4266434,336.6174138,491.7653275,227.2827423,511.2256622,279.3508244,532.3370361,331.5529633,0.94,1.73,12.83,8.58,12.01,7.47
148,78,,,,,,,,,,39,-52.82581329,-21.32975578,37.178936,64.73590851,498.8101959,226.7780578,484.1729736,282.7843201,456.2664413,335.7183802,510.2439308,228.7110668,528.0890465,281.6559577,547.4462128,332.8469574,1.27,8.15,12.03,16.5,11.49,8.31
207,59,,,,,,,,,,39,22.37297058,41.6784668,-65.36307335,-37.54348755,521.8878937,226.6532063,535.2193451,282.3728156,548.7046623,335.3146327,525.9734917,228.6564624,523.1698608,287.048775,475.2361393,330.677104,30.17,0.49,31.71,8.16,1.27,6.21
297,90,,,,,,,,,,39,-26.10488892,-3.817977905,-9.059314728,21.61651611,530.1927567,226.0357726,540.1457405,282.4403429,512.3148537,334.9311948,534.5903206,227.6838344,541.5560532,286.1890733,533.3288956,336.914109,9.04,22.28,5.2,16.6,3.9,4.27
349,52,,,,,,,,,,39,-11.74158096,14.24783707,-37.49296188,-2.937698364,544.1197586,224.6163476,561.5132904,282.3740065,540.7223511,331.1294854,546.2993431,225.432533,557.7276421,286.0227013,518.7696075,323.9001381,36.11,23.1,30.04,13.48,6.78,8.17
