time(in ms), time(in s), hsL, hsL*width, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
110,53,-3.527212143,-3386.123657,27.59522438,-52.9164505,-25.0909996,447.5138569,245.0599623,451.7834187,299.0163302,451.046648,349.3601167,437.6652718,244.5021862,447.5162029,302.0223892,394.8896599,336.2484598,46.36,3.02,40.85,0.46,2.61,1.43
192,53,-9.2852211,-8913.812256,13.7677002,-43.11123848,-29.41248894,454.332304,242.7402002,459.114418,297.455703,450.9457111,348.9718509,442.7900791,242.1494329,454.4178486,300.3928828,408.8951111,335.1563716,42.78,7.91,36.37,5.09,3.43,1.49
260,53,-27.49094009,-26391.30249,4.190568924,-20.01832008,9.661016464,464.7075462,240.7334036,472.1561337,295.9099138,446.7492485,342.2962081,451.6242027,240.3515106,461.2893105,297.6502061,441.6900444,343.7065887,18.88,21.47,13.45,17.11,3.28,5.03
343,53,-20.56609154,-19743.44788,6.450061798,-1.149501801,28.70696068,471.6199207,242.2240412,476.6068554,295.6879556,459.1048336,343.3005559,465.1530933,242.2451717,480.4267502,294.8136413,470.8137417,347.4279606,15.15,14.69,5.85,11.67,6.36,5.47
410,53,-30.0755024,-28872.4823,-0.895643234,31.30811691,65.9390831,478.6065674,245.7632214,470.8787727,297.0378578,455.2854252,348.9551461,474.3392944,245.9699714,501.2030411,296.1810207,509.6824265,353.0540013,11.96,4.74,4.81,9.57,15.21,2.37
493,53,-35.89422226,-34458.45337,-7.198705673,47.21546173,75.37771225,485.02985,250.8276558,470.1059532,300.1522887,455.9464073,351.2461817,488.135376,250.6662083,511.8960571,299.9533439,535.3290367,352.211262,1.02,0.8,14.18,8.85,13.65,5.4
576,53,-45.02786636,-43226.75171,-13.93615723,36.64403915,66.20292664,495.0174522,252.3176497,480.8612251,301.9023979,457.6295185,351.2213981,504.8225212,252.2479659,526.3007355,301.3157344,543.1648064,353.853128,3.6,5.72,10.25,14.82,11.35,6.68
643,53,-60.95303535,-58514.91394,-29.35712814,24.22948837,55.69324493,513.9355659,251.4165401,495.6376648,301.5015471,463.4535313,347.8762865,519.9597931,251.4804465,539.5052719,300.9265995,547.5688934,354.8507166,7.73,9.71,4.83,21.31,9.61,10.54
718,53,-61.93943024,-59461.85303,-40.16057968,12.49528885,41.65323257,529.4231987,245.7444406,529.3203735,300.5911517,478.2852459,336.1493897,531.415329,244.3900484,539.6258926,300.7628024,547.3145485,354.9856102,0.12,38.85,4.58,38.91,3.37,1.68
791,53,-44.59407806,-42810.31494,-25.99754333,-4.633598328,29.27524567,538.428154,243.2592398,548.1071663,299.5350802,504.3494225,330.6403792,540.6842422,242.2845036,551.1647987,298.5272884,546.1337471,353.1020558,8.95,43.88,2.95,38.35,7.24,5.52
876,53,-19.38760757,-18612.10327,8.121070862,-21.27216339,11.94854736,548.8689995,242.2153509,556.0373497,297.5122547,537.1370888,332.715894,553.6580086,241.0010827,564.6356392,296.9157422,540.9712601,347.816999,20.96,20.97,14.64,16.79,6.9,3.56
958,53,-14.0320015,-13470.72144,14.20869827,-20.3959465,11.9575882,561.7589951,241.2271768,571.2965584,294.7104192,555.3191185,343.9826524,563.7309837,240.6813097,564.3273926,297.0218611,550.8106041,350.0514829,8.5,16.07,8.14,10.32,1.44,5.19
37,54,13.20230484,12674.21265,42.53488541,-29.49766159,5.11510849,571.5595436,241.1777866,592.1347618,292.6364493,595.8555222,344.7433484,571.8562889,241.0351521,564.1892052,298.1087029,548.5751724,351.2785614,5.06,10.38,9.36,2.31,1.83,12.63
105,54,-27.4263382,-26329.28467,1.435146332,30.87787628,63.29395294,575.4368019,241.3704711,577.6692581,297.7358222,557.1746063,350.9346807,579.0989113,241.4779741,592.2105789,295.8533943,612.1832657,347.6728356,4.51,13.5,12.25,12.21,10.18,1.96
195,54,6.798820496,6526.867676,34.60710526,-2.573261261,11.00549698,587.8942108,243.2046032,606.1201859,295.8971357,600.2839851,350.1580846,589.3338203,243.607884,578.7124443,298.3308864,590.0860977,351.3472795,13.11,14.47,6.89,3.45,3.16,11.9
276,54,-16.58460617,-15921.22192,8.285179138,-21.18598938,5.722446442,601.0264206,245.44958,613.2733727,295.901159,591.9911957,349.487865,603.1630325,245.6742418,589.8014259,301.4517224,587.5413895,353.3810163,6.27,20.37,1.39,12.58,5.47,8.27
346,54,-58.39427948,-56058.5083,-30.42005539,11.4289856,42.32299805,613.964138,245.014177,611.5587616,298.9603901,568.2612991,347.1847916,617.5298882,244.2891115,622.1208572,301.5756726,633.8251877,353.2415843,4.68,25.36,7.28,26.79,3.46,1.72
421,54,-31.31509781,-30062.4939,-8.18195343,-26.53678894,3.110103607,626.8557358,244.1703755,632.2222137,299.072367,604.214344,343.1825924,630.9262276,242.5564152,632.3938179,301.6349602,612.6099014,350.1293099,13.72,22.8,12.91,19.65,0.15,2.98
490,54,-18.01282883,-17292.31567,11.05968475,-36.90032959,-12.50095367,644.5265007,244.3954718,642.3229408,300.0214827,629.4783211,347.4415433,636.2978554,242.9097587,645.3009796,301.6486716,610.8982086,339.0644252,32.28,7.39,27.34,8.65,5.11,1.17
579,54,-19.52138901,-18740.53345,8.100128174,-19.34835434,10.40216446,646.1944771,245.9423876,640.678997,300.6720686,633.5307884,349.0866601,647.5435066,244.3623197,662.6942825,300.4072058,637.1795082,344.0174782,26.86,1.5,18.2,4.73,8.15,0.15
656,54,-22.41989136,-21523.0957,-0.450496674,4.164505005,35.27441025,650.3195,245.8660895,642.1796036,300.5196655,632.9940033,349.0661252,659.9851799,244.6343279,682.3472786,296.8539119,671.0671806,352.2368181,20.08,1.29,6.52,6.06,12.88,0.22
730,54,-28.56834412,-27425.61035,-0.990028381,25.51065445,56.23340607,656.0915565,245.979225,647.1369553,300.4237819,633.8718796,350.9251535,670.1611519,245.4327625,689.5163155,297.2664464,699.1371346,354.5764875,6.47,3.12,5.41,8.39,13,2.8
812,54,-38.2800293,-36748.82813,-10.34425735,29.82559204,60.59463501,666.7529869,247.263853,654.744873,299.5547462,635.2331543,350.9448838,682.4238396,247.425043,697.1345901,297.325412,714.5168495,353.7912333,0.41,4.7,9.84,12.04,11.07,4.61
878,54,-50.85084915,-48816.81519,-22.29469299,20.84014893,51.24320984,679.9415016,248.3409745,663.9549065,299.3158901,638.0534935,350.6667924,694.7769928,248.6522663,708.8005257,297.5258696,718.7859535,354.275254,3.52,5.84,5.67,15.83,10.96,9.62
954,54,-59.12298203,-56758.06274,-28.96385193,9.60811615,39.54174042,693.272438,248.3499223,677.6577759,299.3299556,643.6586952,347.7431631,706.7259979,248.784247,718.9398193,298.5501087,721.0502243,354.503392,6.64,11.78,1.23,21.54,9.39,10.93
20,55,-59.35089111,-56976.85547,-38.19316864,-2.243213654,28.37110519,706.1140251,246.5251082,704.9224663,298.2451093,656.3212967,336.8136227,717.1143723,246.7074448,716.8724442,300.289017,719.4022179,355.1825595,1.63,34.59,1.5,35.32,2.76,4.39
99,55,-52.75560379,-50645.37964,-31.17965698,-11.6292572,18.1934166,708.0804062,244.9085248,709.8121834,296.2015235,664.8090935,333.2930946,726.1719131,245.8969402,723.2163048,301.1494911,719.7474289,355.3072822,0.34,35.4,2.05,34.3,0.89,2.71
172,55,-38.18218231,-36654.89502,-17.56679535,-20.0812912,9.985542297,714.7327995,242.4326903,721.7281723,294.4663167,687.8968048,332.9081118,734.4423866,242.9274935,732.2957039,301.1304367,721.2487221,354.7548974,5.42,30.66,6.59,26.33,2,0.66
244,55,-23.9336586,-22976.31226,-9.700069427,-27.56830215,4.111633301,722.1019363,239.9253291,730.4989815,292.4185145,705.7129669,337.829622,740.2889442,240.9018517,736.4735985,299.7431982,719.5832634,353.7438869,7.89,22.21,9.96,17.06,2.34,1.59
321,55,-13.81896973,-13266.21094,12.54615784,-23.59285355,7.10849762,728.323288,239.724791,733.6107445,292.9184031,721.0563469,350.6962752,747.3530388,240.3746527,744.6972084,298.1851137,731.4957047,353.8865697,6.11,10.17,7.58,6.96,2.69,0.45
411,55,7.219333649,6930.560303,35.29947281,-31.79677963,1.996536255,735.886116,239.8321652,744.0052414,293.1550705,747.9054451,352.5584257,751.8316269,240.1826602,743.3829689,297.2463298,727.1138763,354.2592895,4.36,2.78,9.1,2.13,0.33,2.66
475,55,17.28292465,16591.60767,52.5604248,-31.32762909,-5.598621368,743.5842705,240.5494255,753.6506081,295.0937605,764.6539307,351.0955167,757.3990631,241.7288357,747.1286774,298.013624,726.9761467,354.2573261,5.53,0.38,11.38,6.33,0.09,3.95
557,55,-24.83545303,-23842.03491,27.29782104,-2.144680023,35.31457901,750.3432655,241.791535,750.4748726,297.988776,738.501606,352.8205526,764.1624069,243.7242383,761.5730095,298.0499947,776.9161606,350.486033,10.88,7.08,9.36,6.98,4.27,1.28
624,55,-42.26840973,-40577.67334,1.107730865,3.618049622,31.71609879,759.0558815,242.9100966,752.9611015,300.3019238,726.9898796,353.3056355,771.9444466,244.3716538,774.6284294,295.8140624,781.8354034,350.4488575,2.56,11.99,4.26,15.39,7.2,4.99
706,55,-50.17782211,-48170.70923,-13.17260742,2.564907074,31.82115555,764.5137405,243.8492185,758.3048058,300.3912091,724.5454788,352.7728844,775.9834671,244.299041,775.1112556,295.9000003,783.3652496,350.6903529,5.39,16.39,4.86,19.91,4.17,5.25
771,55,-18.5777092,-17834.60083,8.636569977,-36.67459488,-5.218219757,773.5948563,244.2744827,777.1901894,299.8765469,762.1509361,352.0633006,782.9244804,244.2630404,774.0117645,297.5620472,756.1822701,350.4445767,5.36,11.29,10.72,9.19,1.19,0.49
856,55,-4.949684143,-4751.696777,25.34620285,-62.85575867,-35.18131256,778.8551903,243.8992202,783.1052971,299.8048031,779.8820114,351.9317544,791.2483406,243.9199322,785.159626,298.839401,741.3819695,340.9696734,26.74,4.44,30.3,1.98,0.19,0.39
918,55,-2.911663055,-2795.196533,26.68138504,-57.33375549,-30.13978958,782.6968002,242.7040869,789.4735909,299.7264612,784.5170403,351.6550148,793.6714554,242.490449,793.4952736,299.2867613,746.6223335,339.6192241,33.07,6.9,33.16,3.06,3.69,2.79
3,56,-12.21130371,-11722.85156,18.32805634,-40.4123497,-11.86763763,785.2199364,242.0099366,786.9130898,299.2655182,781.6563034,349.3298292,800.2435112,242.257145,803.431778,299.7033834,771.9791222,341.6708887,24.65,4.33,22.85,3.37,5.18,0.78
73,56,-12.3519516,-11857.87354,14.25086975,-27.1301651,3.769340515,788.068943,241.8202937,786.7584229,297.6417089,782.2142601,348.4000576,804.2687416,242.6077688,804.5889473,301.069411,786.5979195,350.9686697,11.64,2.13,11.45,2.87,4.05,0.95
168,56,-12.26755142,-11776.84937,11.86117172,-20.14635086,8.658485413,788.3414841,241.7604429,787.2956657,297.4483323,782.2713661,350.3384256,806.5924644,242.7979749,806.7149734,302.2692597,793.8476944,353.5948956,8.09,2.45,8.01,3.05,4.13,0.63
233,56,-15.52780151,-14906.68945,7.722358704,-16.18572235,11.27466202,793.0465508,241.7596382,789.7857857,297.1863019,782.9245377,352.6896822,812.3385429,242.7355331,810.6318855,302.5838828,802.229805,355.830667,4.15,2.08,5.06,3.97,3.47,2.98
328,56,-18.94369125,-18185.9436,4.820652008,-19.26074982,8.483562469,795.2564621,241.951502,791.8786812,297.2534108,783.2467461,352.8977036,815.0502777,243.1671542,810.9633636,302.4961746,802.8880119,355.4036808,2.69,3.02,4.89,4.98,2.17,3.77
386,56,-17.46379852,-16765.24658,4.257144928,-18.69918823,6.860904694,795.5200195,242.1483225,792.7334404,297.1655416,783.8826942,352.8132784,815.7390976,243.1266153,810.9730911,302.2925627,802.7507401,355.516237,2.37,3.48,4.95,5.1,1.22,3.78
496,56,-18.16148758,-17435.02808,3.961029053,-20.12792587,6.416015625,795.6291389,242.4101114,792.2453499,297.3678982,783.198967,353.2954001,815.9490967,243.2631665,810.7751083,302.297262,802.7224159,355.7962275,2.02,3.22,4.83,5.19,0.94,4.25
563,56,-18.12372208,-17398.77319,3.950614929,-20.01806259,6.656742096,795.7018661,242.5738603,792.0079422,297.3686385,783.0268478,353.2858086,815.9972763,243.2868558,811.2197685,302.297101,802.4952507,356.0068238,2.61,2.99,5.21,5.15,1.1,4.52
651,56,-17.95469284,-17236.50513,3.879432678,-20.14177322,7.275409698,795.7312202,242.7728051,791.7905617,297.490046,782.8974152,353.2663679,815.9430885,243.3589214,811.2558746,302.8090596,802.0294762,356.5325582,2.98,2.81,5.5,5.11,1.14,4.71
729,56,-17.77204514,-17061.16333,3.877773285,-19.88307953,7.82409668,795.735569,242.88755,791.6959763,297.6540685,782.8352165,353.237046,815.7854462,243.4180319,811.1919022,303.2159615,801.9939995,356.9622481,3.02,2.75,5.48,5.11,1.25,4.79
809,56,-17.61016846,-16905.76172,3.891448975,-19.66163635,7.970409393,795.7307625,242.9439729,791.6254234,297.8021264,782.7952766,353.2158673,815.7210732,243.4575409,811.1123085,303.5107577,802.0484161,357.1832085,2.95,2.71,5.41,5.11,1.27,4.84
896,56,-17.53686905,-16835.39429,3.884868622,-19.54170227,7.994556427,795.7414055,242.977286,791.5819931,297.8718102,782.7723885,353.2060826,815.6999016,243.4789932,811.0637856,303.631779,802.0770264,357.2348034,2.9,2.68,5.37,5.11,1.26,4.88
964,56,-17.4779892,-16778.86963,3.860607147,-19.45381165,8.005313873,795.7625198,242.9840451,791.5552711,297.884717,782.7594566,353.0760491,815.7012749,243.4832096,811.0369492,303.6445248,802.1019173,357.2254694,2.86,2.65,5.34,5.11,1.25,4.92
56,57,-17.39725113,-16701.36108,3.846416473,-19.41581726,7.992095947,795.7867241,242.9908526,791.5327835,297.8903174,782.7511597,352.9614007,815.7086563,243.4904677,811.0182953,303.6428833,802.1127319,357.2102773,2.83,2.63,5.33,5.11,1.23,4.96
