time(in ms), time(in s),hsL, hsL*Vwidth, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
969,24,-51.61560059,-49550.97656,-34.57264423,26.89972401,60.03993988,200.0202799,215.3099889,208.7087345,281.5194225,161.6513586,317.7642632,172.8101921,214.2805356,200.7874632,283.5892725,205.2044678,350.3201437,10.66,40.36,2.15,36.14,6.6,6.5
44,25,-32.09605694,-30812.21466,-11.72636032,9.73965168,41.68308735,214.1627598,215.3760999,237.9542971,276.8675387,193.2421875,312.9386687,189.7844696,216.140787,204.8509884,284.9223411,204.7453308,348.9406621,7.08,47.16,0.04,34.88,0.12,11.95
106,25,8.145647049,7819.821167,41.2967205,-0.767126083,30.28384209,222.9362583,215.3684396,257.8862286,273.8960159,238.9432669,333.8352764,199.6704912,216.313194,203.0066729,286.231817,203.3920527,349.3053353,1.34,28.65,0.21,10.06,3.71,17.88
184,25,27.37534046,26280.32684,63.19300175,-5.865182877,26.21688366,229.2616796,215.3693408,264.3666744,272.2762299,262.3551464,341.931181,204.3097115,216.3223189,203.362484,287.089169,203.4873962,349.6269429,0.5,20.07,0.08,0.91,5.36,18.94
251,25,56.59687042,54332.99561,93.07053566,-19.75150108,12.9283905,242.5503731,217.4770421,275.7148647,274.1527998,300.1198769,341.7070341,218.1551027,218.7422615,211.1018085,287.2981238,204.0067577,350.8818305,0.28,6.73,3.57,11.51,7.04,17.58
320,25,57.12633133,54841.27808,91.11365318,-34.04934883,-1.341190338,259.5856762,219.8335129,291.7122173,276.911763,317.2167492,344.5931017,233.0627918,220.9023625,222.5101948,287.9020071,206.1403799,350.3054667,3.33,5.6,8.38,11.99,8.44,17.68
400,25,40.43704033,38819.55872,77.27302551,-53.14121246,-20.7581377,279.8031807,221.7360896,309.5410538,278.9398026,325.0869656,347.0805073,254.0893078,222.8599137,239.4622564,290.0022733,211.1331224,346.6463113,8.73,8.99,15.7,7.33,10.84,14.59
460,25,34.56719398,33184.50623,70.3804493,-58.91039371,-29.5069313,286.6486645,222.2303456,318.112793,278.8275039,327.3407364,348.3479154,264.7341442,222.5188655,251.849556,290.0233233,215.7772207,342.939713,14.85,13.1,20.97,4.29,10.32,16.2
544,25,16.56984329,15907.04956,51.12825394,-64.64312553,-46.88275337,306.921587,221.9963336,324.2627907,282.4885261,329.2965317,349.7263026,288.3243656,222.2555959,281.0443783,293.59815,235.8109903,337.6559758,26.72,6.75,30,2.43,8.96,6.06
606,25,2.912721634,2796.212769,39.66276169,-50.45619965,-25.37561417,320.2452278,217.1455532,327.9245853,283.7103903,329.3976688,350.1331079,304.4916058,217.1467763,319.0651131,289.7741354,266.1409092,333.6769509,40.58,3,34.13,0.73,0.75,0.54
703,25,-28.81539345,-27662.77771,8.924846649,-14.58034515,24.61169243,332.1475697,211.1229426,333.7023926,280.8989954,322.8369427,340.5211544,318.763876,212.6048416,341.7743111,282.0397496,317.5453663,340.1002514,23.77,6.57,13.19,5.84,4.7,1.03
762,25,-21.30251884,-20450.41809,14.79045868,8.899240494,46.27518654,343.4355068,209.4282585,337.2533798,280.7473326,331.7946053,341.6788709,330.8500957,210.0307256,363.8653278,278.5242426,350.2604198,342.7823853,21.96,0.09,6.77,2.87,10.84,1.76
856,25,-30.86133957,-29626.88599,7.339067459,35.31638145,71.60476685,351.2301064,210.6774813,340.194912,281.913836,329.3780422,347.7207291,339.2442513,210.6984025,373.4212875,279.5784152,379.6616936,349.9052596,12.74,0.3,2.88,5.26,11.52,3.74
919,25,-54.62779999,-52442.68799,-17.17466354,68.77512932,103.3632946,376.4079094,219.0426743,349.8816776,286.58059,329.9907017,348.8067341,365.3079128,219.636451,400.6427193,286.6169286,433.8062954,353.4236956,0.93,2.26,15.62,10.17,12.28,12.62
21,26,-70.8771801,-68042.0929,-33.38644981,53.63960266,91.36007309,392.9209328,220.6900281,363.597393,286.499126,333.1211185,348.2828343,387.4556923,221.9269717,422.976923,286.6670752,445.0054264,354.3528235,6.78,1.44,10.4,15.49,12.25,13.96
79,26,-82.24551201,-78955.69153,-52.88598061,34.60018158,73.86880875,413.5967731,220.0368351,388.8652897,286.5101981,343.965826,339.3564212,407.0964432,221.7026478,442.8611755,286.3836408,448.1930637,355.7897258,14.8,13.72,2.5,25.53,12.26,12.13
166,26,-74.03949738,-71077.91748,-62.0310688,13.72000694,52.36598969,431.5988731,218.8680464,429.783783,286.2935507,369.1932964,328.9842868,427.5908089,220.3244054,446.9875717,287.3988998,448.6728859,356.0519493,8.45,37.73,0.81,38.6,4.66,3.3
227,26,-56.73677444,-54467.30347,-30.50122261,-4.352731705,29.31080818,451.611042,216.3811558,455.8151436,284.7859347,407.7392578,326.6139758,441.5173817,217.7120358,458.684206,285.9750652,440.6965828,346.9319022,17.48,34.86,9.4,32.87,4.69,1.19
339,26,-29.27410126,-28103.13721,-4.539957047,-9.074335098,25.94186783,465.0257778,215.1656967,484.1385269,278.4402359,445.9141445,330.799638,451.6716957,216.106959,463.4898663,285.5107105,449.6953869,347.7666271,12.58,31.97,7.09,22.32,3.78,6.5
403,26,15.06093979,14458.5022,47.22822189,-25.85300446,9.417257309,476.1194229,213.5747015,507.5626945,273.0272377,497.4744415,340.0557375,466.7552376,213.87954,462.4701405,283.8542318,448.7000942,351.5081799,4.56,21.41,6.51,4.82,2.2,14.82
487,26,-39.74945068,-38159.47266,-3.579597473,50.91819763,83.28620911,485.2630806,215.6527269,473.2662678,284.3914247,453.6711502,353.0816495,488.7280083,215.3441066,519.9105263,278.3202446,541.1375999,345.667938,5.51,3.51,10.07,9.1,14.91,5.5
557,26,-56.08131409,-53838.06152,-21.39550209,54.1781044,83.25616837,499.9260521,218.5953784,477.5184917,287.6678181,453.5975933,351.5847838,506.8103027,218.2766354,536.5936089,278.9501023,561.0009956,345.1511192,3.72,1.55,11.74,11.87,14.38,10.82
635,26,-70.00834465,-67208.01086,-34.49586868,48.87382507,82.91049957,514.9486542,220.0113112,487.4458694,288.619734,454.2990589,350.4710984,515.866127,218.8200724,547.0749664,279.389931,567.3147011,345.2990484,6.36,4.07,9.82,16.76,14.27,12.81
